Gene stable ID	RefSeq peptide ID
ENSG00000282559	NP_001369287
ENSG00000282566	
ENSG00000282566	NP_001297063
ENSG00000282530	NP_001130033
ENSG00000281987	NP_001293001
ENSG00000282095	NP_001289480
ENSG00000261958	NP_001005213
ENSG00000261958	NP_001005213
ENSG00000262191	NP_001013376
ENSG00000282298	NP_001010890
ENSG00000282741	NP_001278309
ENSG00000282741	
ENSG00000262647	NP_001377761
ENSG00000262647	NP_001005284
ENSG00000282212	NP_001093320
ENSG00000282424	NP_001013425
ENSG00000281107	
ENSG00000282583	NP_001012276
ENSG00000282583	
ENSG00000282583	
ENSG00000282125	NP_001278310
ENSG00000293551	NP_001094101
ENSG00000291381	NP_694945
ENSG00000291381	
ENSG00000291381	
ENSG00000288263	NP_002920
ENSG00000291382	NP_112169
ENSG00000291382	
ENSG00000291375	NP_061867
ENSG00000291375	
ENSG00000291375	
ENSG00000291379	NP_001258798
ENSG00000291379	
ENSG00000291379	NP_001108072
ENSG00000291379	
ENSG00000291379	
ENSG00000291401	
ENSG00000291401	NP_940948
ENSG00000291401	NP_001340278
ENSG00000291401	
ENSG00000291401	
ENSG00000291380	
ENSG00000291380	NP_001138750
ENSG00000291380	NP_060560
ENSG00000291380	NP_001138749
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291380	
ENSG00000291387	NP_031391
ENSG00000291387	
ENSG00000291426	NP_061882
ENSG00000291426	NP_001305443
ENSG00000292226	
ENSG00000291426	NP_001305445
ENSG00000291426	
ENSG00000291426	
ENSG00000291426	NP_001305444
ENSG00000292226	NP_001392671
ENSG00000291426	NP_001305441
ENSG00000292228	NP_001393481
ENSG00000292228	
ENSG00000291428	NP_003948
ENSG00000292227	
ENSG00000291428	
ENSG00000292227	NP_001392468
ENSG00000292227	NP_001392478
ENSG00000292227	NP_001392474
ENSG00000292227	NP_001392471
ENSG00000292227	NP_001392477
ENSG00000292227	NP_001392467
ENSG00000292227	NP_001392475
ENSG00000292227	NP_001392476
ENSG00000292227	NP_001392470
ENSG00000292227	NP_001392466
ENSG00000292227	NP_001392479
ENSG00000292227	NP_001392469
ENSG00000292227	NP_001392472
ENSG00000292227	NP_001392473
ENSG00000292227	NP_001382834
ENSG00000292227	NP_001392459
ENSG00000292227	NP_001392463
ENSG00000292227	NP_001392464
ENSG00000292227	NP_001392465
ENSG00000292227	NP_001392462
ENSG00000292227	NP_001392461
ENSG00000291428	NP_001243558
ENSG00000291428	NP_001243556
ENSG00000291428	
ENSG00000291428	
ENSG00000292225	NP_001392605
ENSG00000292225	NP_001392621
ENSG00000292225	NP_001392602
ENSG00000292225	NP_001392610
ENSG00000292225	NP_001392612
ENSG00000292225	NP_001392626
ENSG00000292225	NP_001392628
ENSG00000292225	NP_001392622
ENSG00000292225	NP_001392596
ENSG00000292225	NP_001392609
ENSG00000292225	NP_001392608
ENSG00000292225	NP_001392623
ENSG00000292225	NP_001392625
ENSG00000292225	NP_001392607
ENSG00000292225	NP_001392598
ENSG00000292225	NP_001392600
ENSG00000292225	NP_001392601
ENSG00000292225	NP_001392606
ENSG00000292225	NP_001392627
ENSG00000292225	NP_001392616
ENSG00000292225	NP_001392615
ENSG00000292225	NP_001392599
ENSG00000292225	NP_001392611
ENSG00000292225	NP_001392629
ENSG00000292225	NP_001392597
ENSG00000292225	NP_001392614
ENSG00000292225	NP_001392604
ENSG00000292225	NP_001392613
ENSG00000292225	NP_001392603
ENSG00000292225	NP_060410
ENSG00000292225	NP_001392624
ENSG00000292225	NP_001392595
ENSG00000291428	
ENSG00000291428	NP_001269147
ENSG00000292225	
ENSG00000291428	NP_001243559
ENSG00000291428	
ENSG00000291428	
ENSG00000291428	
ENSG00000291431	
ENSG00000291431	NP_004411
ENSG00000291433	NP_001005922
ENSG00000291434	NP_001004325
ENSG00000291435	NP_001012726
ENSG00000291440	NP_001012727
ENSG00000291440	NP_001334603
ENSG00000291440	NP_001012727
ENSG00000291443	NP_001001480
ENSG00000291442	NP_001165694
ENSG00000291442	NP_443731
ENSG00000291455	NP_001409007
ENSG00000291455	NP_001230650
ENSG00000291455	
ENSG00000291455	
ENSG00000291458	NP_001409015
ENSG00000291458	NP_001157943
ENSG00000291458	
ENSG00000291458	
ENSG00000291459	
ENSG00000281449	NP_001357198
ENSG00000281449	NP_001357197
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	
ENSG00000281449	NP_620049
ENSG00000281449	NP_620048
ENSG00000281449	NP_110393
ENSG00000281449	
ENSG00000281449	
ENSG00000281324	NP_001401181
ENSG00000281324	NP_001401183
ENSG00000281324	NP_001401178
ENSG00000281324	NP_001401180
ENSG00000281324	NP_001401184
ENSG00000281324	NP_001401177
ENSG00000281324	NP_001401173
ENSG00000281324	NP_001401176
ENSG00000281324	NP_001401182
ENSG00000281324	NP_001401179
ENSG00000281324	NP_002327
ENSG00000281324	NP_001401174
ENSG00000281324	
ENSG00000281324	
ENSG00000281324	NP_001401175
ENSG00000281324	
ENSG00000281818	NP_060520
ENSG00000281818	NP_001350542
ENSG00000281818	
ENSG00000281818	
ENSG00000280689	NP_477517
ENSG00000280689	NP_001287671
ENSG00000280689	NP_001317285
ENSG00000280962	NP_085143
ENSG00000280962	
ENSG00000280962	
ENSG00000280962	
ENSG00000292327	NP_037371
ENSG00000292327	
ENSG00000292332	NP_002174
ENSG00000292332	
ENSG00000292332	NP_001254642
ENSG00000292333	NP_835230
ENSG00000292333	NP_001411115
ENSG00000292333	NP_001411117
ENSG00000292333	NP_001411116
ENSG00000292333	NP_001411119
ENSG00000292333	NP_001411118
ENSG00000292333	NP_001411120
ENSG00000292333	NP_001411121
ENSG00000292333	
ENSG00000292334	NP_001627
ENSG00000292336	NP_001164509
ENSG00000292336	NP_001403454
ENSG00000292336	NP_001164510
ENSG00000292336	
ENSG00000292338	NP_660160
ENSG00000292338	
ENSG00000292338	
ENSG00000292338	
ENSG00000292339	NP_004183
ENSG00000292339	NP_001166945
ENSG00000292339	NP_001411123
ENSG00000292339	NP_001166944
ENSG00000292343	NP_005079
ENSG00000292343	
ENSG00000292343	
ENSG00000292344	NP_001357301
ENSG00000292344	NP_001357299
ENSG00000292344	NP_001357300
ENSG00000292344	
ENSG00000292344	
ENSG00000292344	
ENSG00000292344	NP_060860
ENSG00000292344	NP_001357302
ENSG00000292344	
ENSG00000292344	
ENSG00000292344	
ENSG00000292344	
ENSG00000292345	
ENSG00000292345	
ENSG00000292345	NP_004720
ENSG00000292345	NP_001164607
ENSG00000292345	NP_001164606
ENSG00000292345	
ENSG00000292348	
ENSG00000292348	NP_001308298
ENSG00000292348	NP_001116370
ENSG00000292348	
ENSG00000292348	NP_001308299
ENSG00000292348	NP_002405
ENSG00000292348	NP_001308296
ENSG00000292348	NP_001308297
ENSG00000292348	
ENSG00000292348	
ENSG00000292348	
ENSG00000292354	
ENSG00000292354	NP_006874
ENSG00000292354	NP_000442
ENSG00000292354	
ENSG00000292357	NP_001366083
ENSG00000292357	NP_001155002
ENSG00000292357	NP_001366082
ENSG00000292357	NP_001366092
ENSG00000292357	NP_001366093
ENSG00000292357	
ENSG00000292357	NP_001155004
ENSG00000292357	NP_001366094
ENSG00000292357	NP_001366090
ENSG00000292357	NP_001366089
ENSG00000292357	NP_001366091
ENSG00000292357	NP_001366095
ENSG00000292357	NP_001366088
ENSG00000292357	NP_006131
ENSG00000292357	NP_758448
ENSG00000292357	NP_001366087
ENSG00000292357	NP_001366085
ENSG00000292357	
ENSG00000292357	NP_001155001
ENSG00000292357	NP_001155003
ENSG00000292357	NP_001366084
ENSG00000292357	
ENSG00000292357	NP_758449
ENSG00000292357	NP_758452
ENSG00000292357	
ENSG00000292357	NP_001366096
ENSG00000292357	NP_001366098
ENSG00000292357	NP_758450
ENSG00000292357	NP_001366097
ENSG00000292358	NP_036359
ENSG00000292363	NP_071431
ENSG00000292363	
ENSG00000292363	NP_001012288
ENSG00000292366	NP_005629
ENSG00000292366	
ENSG00000292366	NP_001172112
ENSG00000292366	NP_001138621
ENSG00000292372	
ENSG00000292373	NP_002177
ENSG00000292373	NP_789743
ENSG00000169789	NP_004667
ENSG00000169789	
ENSG00000288260	
ENSG00000288297	NP_001280668
ENSG00000288297	NP_001071161
ENSG00000288274	NP_001352126
ENSG00000288243	NP_938023
ENSG00000288243	
ENSG00000288243	
ENSG00000114374	
ENSG00000288243	NP_001354187
ENSG00000288243	
ENSG00000288243	NP_001288667
ENSG00000114374	NP_004645
ENSG00000288243	
ENSG00000288243	
ENSG00000114374	
ENSG00000169807	NP_001002758
ENSG00000169807	
ENSG00000198692	NP_004672
ENSG00000198692	NP_001265541
ENSG00000183753	
ENSG00000183753	NP_004669
ENSG00000183753	
ENSG00000244395	
ENSG00000244395	NP_001006120
ENSG00000244395	NP_001307879
ENSG00000244395	NP_001307878
ENSG00000169953	NP_001001877
ENSG00000169953	
ENSG00000169953	NP_714927
ENSG00000012817	NP_004644
ENSG00000012817	NP_001140177
ENSG00000012817	NP_001140178
ENSG00000012817	
ENSG00000012817	
ENSG00000012817	
ENSG00000172468	NP_149099
ENSG00000172468	NP_689797
ENSG00000172468	
ENSG00000172468	
ENSG00000176679	NP_631960
ENSG00000176679	
ENSG00000169800	NP_001290339
ENSG00000169800	NP_001369311
ENSG00000169800	NP_689798
ENSG00000169800	NP_001369313
ENSG00000169800	NP_001369312
ENSG00000169800	NP_001369310
ENSG00000182415	NP_004816
ENSG00000185894	NP_001002761
ENSG00000185894	
ENSG00000185894	
ENSG00000205916	
ENSG00000205916	
ENSG00000205916	NP_065153
ENSG00000205916	NP_001375413
ENSG00000205916	
ENSG00000205916	
ENSG00000205916	
ENSG00000205916	NP_001005375
ENSG00000129873	NP_001001722
ENSG00000184895	NP_003131
ENSG00000129824	NP_000999
ENSG00000129824	
ENSG00000067646	NP_001356633
ENSG00000067646	NP_001356636
ENSG00000067646	NP_001356631
ENSG00000067646	NP_001356632
ENSG00000067646	NP_001356635
ENSG00000067646	NP_001356634
ENSG00000067646	NP_003402
ENSG00000067646	NP_001356638
ENSG00000067646	NP_001138748
ENSG00000067646	
ENSG00000067646	NP_001356639
ENSG00000067646	NP_001138747
ENSG00000067646	NP_001356637
ENSG00000067048	NP_001116137
ENSG00000067048	
ENSG00000067048	NP_001289481
ENSG00000067048	NP_001311124
ENSG00000067048	NP_004651
ENSG00000067048	
ENSG00000288512	NP_001724
ENSG00000288512	NP_001341275
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288512	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	NP_001284569
ENSG00000288124	NP_057630
ENSG00000288124	NP_001284571
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	
ENSG00000288124	NP_001284572
ENSG00000288369	NP_001316383
ENSG00000288369	NP_113679
ENSG00000288369	
ENSG00000288369	
ENSG00000288427	
ENSG00000288427	NP_055533
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000288427	
ENSG00000183878	
ENSG00000288427	
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	
ENSG00000183878	NP_001387102
ENSG00000183878	NP_001245196
ENSG00000183878	NP_001245192
ENSG00000183878	NP_001245188
ENSG00000183878	NP_001245199
ENSG00000183878	NP_001245179
ENSG00000183878	NP_001245186
ENSG00000183878	NP_009056
ENSG00000183878	NP_001387106
ENSG00000183878	NP_001245191
ENSG00000183878	NP_001245178
ENSG00000183878	NP_001387110
ENSG00000183878	NP_001245198
ENSG00000183878	NP_001387104
ENSG00000183878	NP_001387099
ENSG00000183878	NP_001387107
ENSG00000183878	NP_001245197
ENSG00000183878	NP_001245184
ENSG00000183878	NP_001245193
ENSG00000183878	NP_001245181
ENSG00000183878	NP_001245185
ENSG00000183878	NP_001406735
ENSG00000183878	NP_001245182
ENSG00000183878	NP_001245180
ENSG00000183878	NP_001245190
ENSG00000183878	NP_001245195
ENSG00000183878	NP_001387100
ENSG00000183878	NP_001245189
ENSG00000183878	NP_001245187
ENSG00000183878	NP_001245194
ENSG00000183878	NP_001245183
ENSG00000183878	NP_872600
ENSG00000183878	NP_001387128
ENSG00000183878	NP_001387121
ENSG00000183878	NP_001387112
ENSG00000183878	NP_001387114
ENSG00000183878	NP_001387118
ENSG00000183878	NP_001387124
ENSG00000183878	NP_001387116
ENSG00000183878	NP_872601
ENSG00000183878	
ENSG00000183878	
ENSG00000288217	
ENSG00000154620	NP_004193
ENSG00000129864	NP_004670
ENSG00000187191	NP_065097
ENSG00000187191	
ENSG00000187191	
ENSG00000288217	
ENSG00000188120	NP_004072
ENSG00000188120	NP_001375425
ENSG00000188120	
ENSG00000099721	NP_001134
ENSG00000099721	NP_001351743
ENSG00000288217	NP_001124498
ENSG00000288217	NP_001338060
ENSG00000288217	
ENSG00000288217	NP_001338068
ENSG00000288217	NP_001338069
ENSG00000288217	NP_001338067
ENSG00000288217	NP_001361578
ENSG00000288217	NP_001338064
ENSG00000288217	NP_001338053
ENSG00000288217	NP_001338055
ENSG00000288217	NP_001361575
ENSG00000288217	NP_001361577
ENSG00000288217	NP_001338059
ENSG00000288217	NP_001338066
ENSG00000288217	NP_001338056
ENSG00000288217	NP_001338057
ENSG00000288217	NP_001124496
ENSG00000288217	NP_001361574
ENSG00000288217	
ENSG00000288217	NP_001124495
ENSG00000288217	
ENSG00000288217	
ENSG00000288217	NP_001338065
ENSG00000288217	NP_001361576
ENSG00000288217	NP_001124497
ENSG00000288217	NP_001287718
ENSG00000288217	NP_001338062
ENSG00000288217	NP_001338063
ENSG00000288217	NP_001338061
ENSG00000288217	
ENSG00000288217	
ENSG00000288217	
ENSG00000288217	
ENSG00000092377	NP_599021
ENSG00000288217	NP_000310
ENSG00000288217	
ENSG00000092377	NP_599020
ENSG00000092377	NP_150600
ENSG00000288217	
ENSG00000092377	
ENSG00000205944	NP_001005786
ENSG00000205944	NP_001005785
ENSG00000205944	NP_065096
ENSG00000205944	NP_001375423
ENSG00000205944	NP_001375422
ENSG00000205944	NP_001375424
ENSG00000205944	NP_001376232
ENSG00000205944	
ENSG00000242389	
ENSG00000242389	NP_001006118
ENSG00000242389	
ENSG00000165246	NP_001381759
ENSG00000165246	NP_001352515
ENSG00000165246	NP_001193779
ENSG00000165246	NP_055708
ENSG00000165246	
ENSG00000165246	
ENSG00000165246	NP_001352513
ENSG00000165246	NP_001352517
ENSG00000165246	NP_001352520
ENSG00000165246	NP_001352519
ENSG00000165246	NP_001381760
ENSG00000165246	NP_001352521
ENSG00000165246	NP_001352522
ENSG00000165246	NP_001157710
ENSG00000129862	NP_870996
ENSG00000280969	NP_001034656
ENSG00000099715	NP_116753
ENSG00000099715	
ENSG00000099715	NP_001265548
ENSG00000099715	NP_001382516
ENSG00000099715	
ENSG00000099715	
ENSG00000099715	NP_116754
ENSG00000099715	NP_116755
ENSG00000172352	NP_001003895
ENSG00000172352	NP_001003894
ENSG00000183795	
ENSG00000183795	NP_001002760
ENSG00000183795	
ENSG00000172288	NP_733841
ENSG00000172288	NP_004671
ENSG00000226941	NP_001006117
ENSG00000242875	NP_001307877
ENSG00000242875	NP_001006121
ENSG00000242875	
ENSG00000234414	NP_001307874
ENSG00000234414	NP_001307873
ENSG00000234414	NP_005049
ENSG00000234414	
ENSG00000233803	
ENSG00000233803	NP_001409015
ENSG00000233803	NP_001157943
ENSG00000233803	
ENSG00000229549	
ENSG00000229549	NP_001409007
ENSG00000229549	NP_001230650
ENSG00000229549	
ENSG00000228927	NP_001409017
ENSG00000228927	NP_001408985
ENSG00000228927	NP_001409018
ENSG00000228927	NP_001409016
ENSG00000228927	NP_001408999
ENSG00000228927	NP_001409010
ENSG00000228927	NP_001409001
ENSG00000228927	NP_001409000
ENSG00000228927	NP_001409009
ENSG00000228927	NP_001071165
ENSG00000228927	
ENSG00000228927	
ENSG00000284255	NP_001005270
ENSG00000292249	NP_001005513
ENSG00000258992	NP_001184171
ENSG00000258992	NP_001409000
ENSG00000258992	NP_001409011
ENSG00000258992	NP_001409009
ENSG00000258992	NP_001307893
ENSG00000258992	NP_003299
ENSG00000238074	NP_001382992
ENSG00000236424	NP_001409017
ENSG00000236424	NP_001408985
ENSG00000236424	NP_001409018
ENSG00000236424	NP_001409016
ENSG00000236424	NP_001408999
ENSG00000236424	NP_001409010
ENSG00000236424	NP_001409001
ENSG00000236424	NP_001409000
ENSG00000236424	NP_001409009
ENSG00000236424	NP_001269398
ENSG00000236424	NP_001307891
ENSG00000168757	
ENSG00000168757	NP_072095
ENSG00000168757	
ENSG00000281230	NP_001341102
ENSG00000281230	NP_062551
ENSG00000281230	NP_001362357
ENSG00000285063	
ENSG00000285063	NP_001273749
ENSG00000285063	NP_001005217
ENSG00000283153	
ENSG00000283153	NP_004468
ENSG00000283153	
ENSG00000283153	
ENSG00000283153	
ENSG00000280680	NP_001164035
ENSG00000284383	
ENSG00000284383	
ENSG00000284496	
ENSG00000284496	
ENSG00000284262	
ENSG00000284262	
ENSG00000283767	
ENSG00000283767	
ENSG00000284210	
ENSG00000284210	
ENSG00000283884	
ENSG00000283884	
ENSG00000280680	NP_001116306
ENSG00000283955	
ENSG00000283955	
ENSG00000284025	
ENSG00000284025	
ENSG00000280680	NP_060664
ENSG00000283878	
ENSG00000283878	
ENSG00000284181	
ENSG00000280680	NP_001164059
ENSG00000284181	
ENSG00000283820	
ENSG00000283820	
ENSG00000280680	NP_001164058
ENSG00000280680	NP_001164051
ENSG00000283363	
ENSG00000280680	
ENSG00000283949	
ENSG00000283949	NP_001350749
ENSG00000283949	NP_001292997
ENSG00000283949	NP_001280727
ENSG00000280680	
ENSG00000280680	
ENSG00000280584	NP_055396
ENSG00000280584	
ENSG00000280584	NP_001275916
ENSG00000281309	NP_001265871
ENSG00000281309	NP_006744
ENSG00000281022	NP_598395
ENSG00000281022	
ENSG00000281022	NP_852468
ENSG00000281022	
ENSG00000281022	
ENSG00000281022	
ENSG00000281022	
ENSG00000281022	
ENSG00000280858	NP_000963
ENSG00000280858	
ENSG00000280858	
ENSG00000283984	
ENSG00000283984	
ENSG00000280627	NP_003163
ENSG00000280627	NP_001267716
ENSG00000281024	NP_001265857
ENSG00000281024	NP_059973
ENSG00000280951	NP_001267719
ENSG00000280951	NP_001267717
ENSG00000280951	NP_001267722
ENSG00000280951	NP_001267720
ENSG00000280951	NP_001267721
ENSG00000280951	NP_149351
ENSG00000280951	NP_001267718
ENSG00000280951	
ENSG00000281245	NP_714921
ENSG00000280706	NP_001266278
ENSG00000280706	NP_001266280
ENSG00000280706	NP_001266279
ENSG00000280706	NP_065118
ENSG00000280706	
ENSG00000280706	
ENSG00000154646	NP_002763
ENSG00000154646	
ENSG00000154646	
ENSG00000154639	NP_001329
ENSG00000154639	NP_001193992
ENSG00000154639	NP_001193994
ENSG00000154639	NP_001193993
ENSG00000154639	NP_001193995
ENSG00000277282	
ENSG00000281244	NP_620594
ENSG00000281244	
ENSG00000281244	
ENSG00000281244	
ENSG00000281244	NP_620596
ENSG00000281244	NP_620595
ENSG00000281244	
ENSG00000281244	
ENSG00000280479	NP_001229299
ENSG00000280479	NP_001229298
ENSG00000280479	NP_001129247
ENSG00000280479	NP_060056
ENSG00000280479	
ENSG00000142207	NP_055640
ENSG00000232263	NP_001122070
ENSG00000281165	NP_060055
ENSG00000281165	NP_001138571
ENSG00000281165	
ENSG00000281165	
ENSG00000281879	NP_001411301
ENSG00000281879	NP_065202
ENSG00000281879	NP_065202
ENSG00000281879	NP_001411301
ENSG00000281879	
ENSG00000281879	
ENSG00000154721	NP_001257337
ENSG00000154721	NP_067042
ENSG00000154721	
ENSG00000154721	NP_001257336
ENSG00000156282	NP_036263
ENSG00000166265	NP_443186
ENSG00000166265	NP_001307697
ENSG00000166265	
ENSG00000243927	NP_115865
ENSG00000188694	NP_001078924
ENSG00000198743	NP_008864
ENSG00000159259	NP_005432
ENSG00000156304	NP_065757
ENSG00000156304	NP_001138917
ENSG00000156304	NP_001138916
ENSG00000154654	NP_001339520
ENSG00000154654	NP_001339524
ENSG00000154654	NP_001339522
ENSG00000154654	NP_001339523
ENSG00000154654	NP_001339525
ENSG00000154654	NP_004531
ENSG00000154654	NP_001339521
ENSG00000156284	NP_955360
ENSG00000222018	NP_001351640
ENSG00000222018	NP_001269466
ENSG00000142149	NP_055401
ENSG00000142149	
ENSG00000142149	
ENSG00000154642	NP_001093890
ENSG00000154642	NP_059143
ENSG00000154642	NP_001093891
ENSG00000154642	
ENSG00000159256	NP_001307375
ENSG00000159256	NP_001307374
ENSG00000159256	NP_056173
ENSG00000283781	NP_003976
ENSG00000159256	
ENSG00000283781	NP_001238831
ENSG00000159256	
ENSG00000159256	
ENSG00000159256	
ENSG00000283781	
ENSG00000283781	
ENSG00000283781	
ENSG00000284009	NP_001356349
ENSG00000284009	NP_001356350
ENSG00000284009	NP_065093
ENSG00000284009	NP_001356336
ENSG00000284009	NP_001356351
ENSG00000284009	NP_001188505
ENSG00000284009	
ENSG00000284009	
ENSG00000284009	
ENSG00000284009	
ENSG00000027001	NP_005923
ENSG00000284009	
ENSG00000284009	
ENSG00000284009	
ENSG00000284009	
ENSG00000284483	
ENSG00000284483	
ENSG00000284483	
ENSG00000284483	
ENSG00000159086	NP_057715
ENSG00000283771	NP_689979
ENSG00000283771	
ENSG00000102781	NP_115492
ENSG00000283859	
ENSG00000102781	NP_001014402
ENSG00000102781	
ENSG00000283859	NP_065846
ENSG00000102781	
ENSG00000283859	
ENSG00000159086	
ENSG00000284598	NP_955371
ENSG00000283714	NP_783861
ENSG00000159086	NP_037461
ENSG00000283714	
ENSG00000284090	NP_001351601
ENSG00000284090	NP_001351637
ENSG00000159086	
ENSG00000284090	
ENSG00000159086	
ENSG00000286184	
ENSG00000236444	
ENSG00000284228	NP_848613
ENSG00000236444	NP_001342176
ENSG00000284228	NP_001307373
ENSG00000236444	
ENSG00000283903	
ENSG00000273167	
ENSG00000205929	
ENSG00000283903	NP_001290389
ENSG00000283903	NP_004103
ENSG00000205929	NP_001155968
ENSG00000283903	
ENSG00000283903	
ENSG00000205929	
ENSG00000283903	
ENSG00000205929	NP_062542
ENSG00000205929	NP_001155967
ENSG00000283946	NP_000738
ENSG00000283946	
ENSG00000283946	
ENSG00000283946	
ENSG00000102753	NP_002258
ENSG00000283946	
ENSG00000102753	
ENSG00000283946	
ENSG00000283868	NP_065950
ENSG00000283868	NP_001122305
ENSG00000284515	NP_001096084
ENSG00000165475	
ENSG00000284832	NP_000928
ENSG00000165475	NP_057058
ENSG00000165475	NP_001350576
ENSG00000165475	
ENSG00000165475	
ENSG00000165475	
ENSG00000165475	
ENSG00000165475	
ENSG00000165475	
ENSG00000165475	
ENSG00000102547	NP_112187
ENSG00000102547	NP_001073138
ENSG00000102547	
ENSG00000102547	
ENSG00000102547	NP_001274266
ENSG00000102547	
ENSG00000102547	
ENSG00000102547	
ENSG00000102547	NP_001274267
ENSG00000102547	NP_001274268
ENSG00000120675	NP_037370
ENSG00000132975	NP_005279
ENSG00000132975	
ENSG00000293604	NP_116179
ENSG00000132970	
ENSG00000132970	NP_006637
ENSG00000132970	NP_001278894
ENSG00000291479	NP_003951
ENSG00000291480	NP_001317320
ENSG00000291480	NP_001317321
ENSG00000291480	NP_001317318
ENSG00000291480	NP_057142
ENSG00000291480	NP_001317317
ENSG00000291480	NP_001317319
ENSG00000291480	NP_001317315
ENSG00000291480	NP_001317316
ENSG00000291483	
ENSG00000291483	NP_003575
ENSG00000291483	
ENSG00000291483	
ENSG00000291483	
ENSG00000291483	
ENSG00000291483	
ENSG00000291483	
ENSG00000291483	
ENSG00000291483	
ENSG00000291484	NP_001340273
ENSG00000291484	NP_001073943
ENSG00000291485	
ENSG00000133110	NP_001411102
ENSG00000133110	NP_001317446
ENSG00000133110	NP_001411101
ENSG00000133110	NP_006466
ENSG00000133110	NP_001273594
ENSG00000133110	NP_001129408
ENSG00000133110	NP_001129406
ENSG00000133110	NP_001411103
ENSG00000133110	NP_001129407
ENSG00000133110	NP_001273596
ENSG00000133110	NP_001273595
ENSG00000205726	NP_001317941
ENSG00000205726	
ENSG00000285312	
ENSG00000285312	NP_001375239
ENSG00000285312	NP_001375240
ENSG00000285312	NP_001138492
ENSG00000102531	NP_001073141
ENSG00000285312	
ENSG00000285312	
ENSG00000102531	
ENSG00000285312	NP_001341286
ENSG00000102531	
ENSG00000102531	NP_055738
ENSG00000285226	NP_060376
ENSG00000102531	
ENSG00000102531	NP_001265367
ENSG00000284936	
ENSG00000183722	
ENSG00000284936	NP_001158730
ENSG00000284936	NP_057546
ENSG00000183722	NP_005771
ENSG00000205726	NP_003015
ENSG00000205726	NP_001001132
ENSG00000285222	
ENSG00000205726	NP_001317939
ENSG00000205726	NP_001317938
ENSG00000205726	NP_001317937
ENSG00000205726	NP_001317940
