Gene stable ID	Transcript stable ID	Protein stable ID	UCSC Stable ID
ENSG00000291425	ENST00000707502		
ENSG00000291425	ENST00000707503		
ENSG00000291425	ENST00000707504		
ENSG00000291425	ENST00000707505		
ENSG00000291425	ENST00000707506		
ENSG00000291425	ENST00000707507		
ENSG00000291425	ENST00000707508		
ENSG00000291425	ENST00000707509		
ENSG00000291425	ENST00000707510		
ENSG00000291425	ENST00000707511		
ENSG00000291425	ENST00000707512		
ENSG00000291425	ENST00000707513		
ENSG00000291425	ENST00000707514		
ENSG00000291425	ENST00000707515		
ENSG00000291425	ENST00000707516		
ENSG00000291425	ENST00000707517		
ENSG00000291425	ENST00000707518		
ENSG00000288372	ENST00000672491		
ENSG00000288288	ENST00000672000		
ENSG00000288129	ENST00000672472		
ENSG00000288472	ENST00000673100		
ENSG00000288472	ENST00000673009		
ENSG00000288472	ENST00000671859		
ENSG00000288472	ENST00000673474		
ENSG00000288472	ENST00000671974		
ENSG00000288472	ENST00000672211		
ENSG00000288472	ENST00000671702		
ENSG00000288472	ENST00000672607		
ENSG00000288472	ENST00000671925		
ENSG00000288472	ENST00000673176		
ENSG00000288472	ENST00000673336		
ENSG00000288472	ENST00000673539		
ENSG00000288472	ENST00000672556		
ENSG00000288472	ENST00000673355		
ENSG00000288417	ENST00000671807		
ENSG00000288417	ENST00000672947		
ENSG00000288417	ENST00000672450		
ENSG00000288417	ENST00000673422		
ENSG00000288417	ENST00000672819		
ENSG00000288417	ENST00000673131		
ENSG00000288502	ENST00000673385		
ENSG00000288311	ENST00000672408		
ENSG00000288449	ENST00000672289		
ENSG00000288499	ENST00000672066	ENSP00000499851	
ENSG00000288499	ENST00000673544		
ENSG00000288499	ENST00000672298		
ENSG00000288499	ENST00000672379		
ENSG00000288499	ENST00000673583		
ENSG00000288159	ENST00000672216		
ENSG00000288431	ENST00000672062	ENSP00000500776	
ENSG00000288431	ENST00000672432	ENSP00000500816	
ENSG00000281819	ENST00000625975		
ENSG00000263150	ENST00000570683	ENSP00000485975	
ENSG00000262851	ENST00000573647	ENSP00000460931	
ENSG00000261897	ENST00000575738	ENSP00000459586	
ENSG00000262784	ENST00000576733	ENSP00000459132	
ENSG00000262611	ENST00000626711	ENSP00000486842	
ENSG00000262611	ENST00000574192	ENSP00000460360	
ENSG00000280712	ENST00000627820		
ENSG00000262755	ENST00000573400	ENSP00000460880	
ENSG00000281773	ENST00000628449		
ENSG00000280617	ENST00000628251		
ENSG00000263328	ENST00000574800	ENSP00000461384	
ENSG00000281820	ENST00000627504		
ENSG00000262796	ENST00000574644	ENSP00000460206	
ENSG00000262315	ENST00000627176	ENSP00000486165	
ENSG00000281038	ENST00000626074	ENSP00000487204	
ENSG00000280577	ENST00000625334		
ENSG00000288269	ENST00000673258		
ENSG00000288269	ENST00000672485	ENSP00000500107	
ENSG00000288269	ENST00000671794	ENSP00000500297	
ENSG00000288269	ENST00000671708	ENSP00000499809	
ENSG00000288269	ENST00000672538		
ENSG00000288269	ENST00000672343		
ENSG00000288319	ENST00000672259	ENSP00000500619	
ENSG00000288319	ENST00000671812	ENSP00000500369	
ENSG00000288521	ENST00000672529		
ENSG00000288394	ENST00000672763		
ENSG00000288228	ENST00000673179		
ENSG00000288213	ENST00000672201	ENSP00000500493	
ENSG00000288342	ENST00000673525		
ENSG00000288315	ENST00000672109		
ENSG00000288272	ENST00000672454		
ENSG00000288213	ENST00000672505	ENSP00000500564	
ENSG00000288213	ENST00000673154	ENSP00000500382	
ENSG00000288213	ENST00000671931	ENSP00000500166	
ENSG00000288213	ENST00000673369	ENSP00000500656	
ENSG00000288213	ENST00000672991	ENSP00000500318	
ENSG00000288213	ENST00000672501	ENSP00000499966	
ENSG00000288213	ENST00000672633	ENSP00000500936	
ENSG00000288213	ENST00000672705		
ENSG00000288213	ENST00000673585	ENSP00000500358	
ENSG00000288213	ENST00000671977	ENSP00000499975	
ENSG00000288213	ENST00000673364	ENSP00000500711	
ENSG00000288186	ENST00000672496	ENSP00000500294	
ENSG00000288186	ENST00000672655		
ENSG00000288186	ENST00000672511	ENSP00000500495	
ENSG00000282162	ENST00000632454		
ENSG00000281934	ENST00000633392	ENSP00000488512	
ENSG00000282116	ENST00000632854		
ENSG00000282175	ENST00000634171	ENSP00000488130	
ENSG00000282817	ENST00000632257	ENSP00000487743	
ENSG00000282584	ENST00000632563	ENSP00000488161	
ENSG00000282663	ENST00000632873	ENSP00000488485	
ENSG00000279195	ENST00000355096	ENSP00000347211	
ENSG00000279195	ENST00000633146	ENSP00000488446	
ENSG00000282338	ENST00000631612		
ENSG00000282549	ENST00000633303		
ENSG00000282119	ENST00000632388	ENSP00000488780	
ENSG00000282119	ENST00000632295	ENSP00000487731	
ENSG00000282791	ENST00000634044		
ENSG00000282437	ENST00000631964	ENSP00000488085	
ENSG00000282559	ENST00000633863	ENSP00000488124	
ENSG00000282566	ENST00000632559	ENSP00000488003	
ENSG00000282566	ENST00000634012	ENSP00000488324	
ENSG00000282258	ENST00000632653		
ENSG00000282562	ENST00000633746		
ENSG00000282530	ENST00000633810	ENSP00000488742	
ENSG00000282468	ENST00000632119		
ENSG00000290624	ENST00000633830		
ENSG00000282341	ENST00000634066		
ENSG00000290500	ENST00000630494		
ENSG00000281987	ENST00000633532	ENSP00000488002	
ENSG00000290500	ENST00000572860		
ENSG00000290500	ENST00000625370		
ENSG00000282095	ENST00000633805	ENSP00000488276	
ENSG00000261958	ENST00000573911	ENSP00000461395	
ENSG00000262191	ENST00000571130	ENSP00000458970	
ENSG00000282298	ENST00000633914	ENSP00000488044	
ENSG00000281683	ENST00000625745		
ENSG00000282741	ENST00000632392	ENSP00000492522	
ENSG00000262268	ENST00000572137		
ENSG00000282741	ENST00000639526	ENSP00000491482	
ENSG00000262647	ENST00000575017	ENSP00000459325	
ENSG00000282212	ENST00000632307	ENSP00000488059	
ENSG00000282289	ENST00000632532		
ENSG00000281777	ENST00000625734		
ENSG00000281313	ENST00000627632		
ENSG00000282424	ENST00000633074	ENSP00000488527	
ENSG00000282216	ENST00000631567		
ENSG00000281279	ENST00000627954		
ENSG00000282288	ENST00000632886		
ENSG00000262535	ENST00000630430		
ENSG00000281107	ENST00000631283	ENSP00000485881	
ENSG00000281839	ENST00000631340		
ENSG00000282583	ENST00000632222	ENSP00000488892	
ENSG00000282583	ENST00000632952	ENSP00000488817	
ENSG00000282583	ENST00000631760	ENSP00000488367	
ENSG00000282125	ENST00000632108	ENSP00000491658	
ENSG00000293551	ENST00000713586	ENSP00000518878	
ENSG00000291378	ENST00000707361		
ENSG00000291381	ENST00000707384		
ENSG00000291381	ENST00000707385	ENSP00000516855	
ENSG00000291381	ENST00000707386	ENSP00000516856	
ENSG00000291381	ENST00000707387		
ENSG00000291381	ENST00000707388		
ENSG00000291381	ENST00000707389	ENSP00000516857	
ENSG00000291405	ENST00000707431		
ENSG00000291405	ENST00000707430		
ENSG00000291404	ENST00000707429		
ENSG00000291376	ENST00000707359		
ENSG00000288263	ENST00000672946	ENSP00000499886	
ENSG00000291382	ENST00000707390	ENSP00000516858	
ENSG00000288263	ENST00000672546		
ENSG00000291382	ENST00000707391	ENSP00000516859	
ENSG00000288263	ENST00000672964		
ENSG00000288305	ENST00000672977		
ENSG00000291377	ENST00000707360		
ENSG00000291375	ENST00000707355	ENSP00000516839	
ENSG00000291375	ENST00000707356	ENSP00000516840	
ENSG00000291375	ENST00000707357	ENSP00000516841	
ENSG00000291375	ENST00000707358		
ENSG00000291379	ENST00000707362		
ENSG00000291379	ENST00000707364	ENSP00000516843	
ENSG00000291379	ENST00000707365	ENSP00000516844	
ENSG00000291379	ENST00000707366		
ENSG00000291379	ENST00000707363	ENSP00000516842	
ENSG00000291379	ENST00000707367	ENSP00000516845	
ENSG00000291379	ENST00000707368		
ENSG00000291379	ENST00000707369		
ENSG00000291379	ENST00000707370	ENSP00000516846	
ENSG00000291379	ENST00000707371		
ENSG00000291374	ENST00000707354		
ENSG00000291401	ENST00000707421	ENSP00000516862	
ENSG00000291401	ENST00000707422		
ENSG00000291401	ENST00000707423	ENSP00000516863	
ENSG00000291401	ENST00000707425	ENSP00000516865	
ENSG00000291401	ENST00000707424	ENSP00000516864	
ENSG00000291401	ENST00000707426	ENSP00000516866	
ENSG00000291380	ENST00000707373	ENSP00000516848	
ENSG00000291380	ENST00000707374	ENSP00000516849	
ENSG00000291380	ENST00000707372	ENSP00000516847	
ENSG00000291380	ENST00000707375		
ENSG00000291380	ENST00000707376	ENSP00000516850	
ENSG00000291380	ENST00000707377	ENSP00000516851	
ENSG00000291380	ENST00000707378		
ENSG00000291380	ENST00000707379	ENSP00000516852	
ENSG00000291380	ENST00000707380	ENSP00000516853	
ENSG00000291380	ENST00000707381		
ENSG00000291380	ENST00000707382	ENSP00000516854	
ENSG00000291380	ENST00000707383		
ENSG00000291388	ENST00000707400		
ENSG00000291402	ENST00000707427		
ENSG00000291389	ENST00000707401		
ENSG00000291390	ENST00000707402		
ENSG00000291391	ENST00000707403		
ENSG00000291392	ENST00000707404		
ENSG00000291393	ENST00000707405		
ENSG00000291394	ENST00000707406		
ENSG00000291386	ENST00000707395		
ENSG00000291385	ENST00000707394		
ENSG00000291408	ENST00000707441		
ENSG00000291408	ENST00000707445		
ENSG00000291408	ENST00000707442		
ENSG00000291408	ENST00000707440		
ENSG00000291408	ENST00000707448		
ENSG00000291408	ENST00000707443		
ENSG00000291408	ENST00000707446		
ENSG00000291408	ENST00000707447		
ENSG00000291408	ENST00000707449		
ENSG00000291408	ENST00000707444		
ENSG00000291384	ENST00000707393		
ENSG00000291400	ENST00000707416		
ENSG00000291400	ENST00000707420		
ENSG00000291400	ENST00000707419		
ENSG00000291400	ENST00000707418		
ENSG00000291400	ENST00000707412		
ENSG00000291400	ENST00000707414		
ENSG00000291400	ENST00000707417		
ENSG00000291400	ENST00000707415		
ENSG00000291400	ENST00000707413		
ENSG00000291383	ENST00000707392		
ENSG00000291395	ENST00000707407		
ENSG00000291397	ENST00000707409		
ENSG00000291398	ENST00000707410		
ENSG00000291396	ENST00000707408		
ENSG00000291399	ENST00000707411		
ENSG00000291387	ENST00000707396	ENSP00000516860	
ENSG00000291387	ENST00000707397		
ENSG00000291387	ENST00000707398		
ENSG00000291387	ENST00000707399	ENSP00000516861	
ENSG00000292230	ENST00000710281		
ENSG00000291403	ENST00000707428		
ENSG00000292231	ENST00000710282		
ENSG00000291407	ENST00000707439		
ENSG00000292235	ENST00000710296		
ENSG00000292236	ENST00000710297		
ENSG00000292238	ENST00000710299		
ENSG00000292239	ENST00000710300		
ENSG00000292240	ENST00000710301		
ENSG00000292241	ENST00000710302		
ENSG00000292242	ENST00000710303		
ENSG00000292229	ENST00000710280		
ENSG00000291426	ENST00000707519	ENSP00000516890	
ENSG00000291426	ENST00000707520	ENSP00000516891	
ENSG00000292226	ENST00000710277	ENSP00000518170	
ENSG00000291426	ENST00000707521	ENSP00000516892	
ENSG00000291426	ENST00000707522	ENSP00000516893	
ENSG00000291426	ENST00000707523	ENSP00000516894	
ENSG00000291426	ENST00000707524	ENSP00000516895	
ENSG00000292226	ENST00000713539	ENSP00000518834	
ENSG00000291426	ENST00000707525	ENSP00000516896	
ENSG00000291426	ENST00000707526		
ENSG00000291426	ENST00000707527		
ENSG00000291426	ENST00000707528		
ENSG00000291426	ENST00000707529		
ENSG00000291426	ENST00000707530		
ENSG00000291426	ENST00000707531		
ENSG00000291427	ENST00000707532		
ENSG00000292228	ENST00000713541	ENSP00000518836	
ENSG00000291429	ENST00000707548		
ENSG00000291430	ENST00000707549		
ENSG00000292228	ENST00000710279	ENSP00000518172	
ENSG00000291428	ENST00000707533	ENSP00000516897	
ENSG00000292227	ENST00000710278	ENSP00000518171	
ENSG00000291428	ENST00000707534	ENSP00000516898	
ENSG00000292227	ENST00000713540	ENSP00000518835	
ENSG00000291428	ENST00000707536	ENSP00000516900	
ENSG00000291428	ENST00000707535	ENSP00000516899	
ENSG00000291428	ENST00000707537	ENSP00000516901	
ENSG00000291428	ENST00000707538	ENSP00000516902	
ENSG00000292225	ENST00000713538	ENSP00000518833	
ENSG00000291428	ENST00000707539	ENSP00000516903	
ENSG00000291428	ENST00000707540	ENSP00000516904	
ENSG00000292225	ENST00000710275	ENSP00000518168	
ENSG00000291428	ENST00000707541	ENSP00000516905	
ENSG00000291428	ENST00000707542	ENSP00000516906	
ENSG00000291428	ENST00000707543		
ENSG00000291428	ENST00000707547	ENSP00000516908	
ENSG00000291428	ENST00000707544	ENSP00000516907	
ENSG00000291428	ENST00000707545		
ENSG00000291428	ENST00000707546		
ENSG00000291441	ENST00000707568		
ENSG00000291431	ENST00000707550	ENSP00000516909	
ENSG00000291431	ENST00000707551	ENSP00000516910	
ENSG00000291431	ENST00000707552		
ENSG00000291432	ENST00000707553		
ENSG00000291432	ENST00000707554		
ENSG00000291432	ENST00000707555		
ENSG00000291432	ENST00000707556		
ENSG00000291432	ENST00000707557		
ENSG00000291433	ENST00000707558	ENSP00000516911	
ENSG00000291434	ENST00000707559	ENSP00000516912	
ENSG00000291435	ENST00000707560	ENSP00000516913	
ENSG00000291440	ENST00000707567	ENSP00000516914	
ENSG00000291443	ENST00000707575	ENSP00000516916	
ENSG00000291436	ENST00000707561		
ENSG00000291437	ENST00000707562		
ENSG00000291437	ENST00000707563		
ENSG00000291437	ENST00000707564		
ENSG00000291438	ENST00000707565		
ENSG00000291439	ENST00000707566		
ENSG00000291442	ENST00000707569		
ENSG00000291442	ENST00000707570	ENSP00000516915	
ENSG00000291442	ENST00000710276	ENSP00000518169	
ENSG00000291442	ENST00000707571		
ENSG00000291442	ENST00000707572		
ENSG00000291442	ENST00000707573		
ENSG00000291442	ENST00000707574		
ENSG00000291444	ENST00000707576		
ENSG00000291445	ENST00000707577		
ENSG00000291446	ENST00000707578		
ENSG00000291447	ENST00000707579		
ENSG00000291448	ENST00000707580		
ENSG00000291449	ENST00000707581		
ENSG00000291450	ENST00000707582		
ENSG00000291451	ENST00000707583		
ENSG00000291452	ENST00000707584		
ENSG00000291453	ENST00000707585		
ENSG00000291455	ENST00000707589	ENSP00000516917	
ENSG00000291455	ENST00000707590	ENSP00000516918	
ENSG00000291455	ENST00000707591	ENSP00000516919	
ENSG00000291455	ENST00000707592		
ENSG00000291455	ENST00000707593		
ENSG00000291456	ENST00000707594		
ENSG00000291456	ENST00000707595		
ENSG00000291457	ENST00000707596		
ENSG00000291458	ENST00000707597	ENSP00000516920	
ENSG00000291458	ENST00000707598	ENSP00000516921	
ENSG00000291458	ENST00000707599	ENSP00000516922	
ENSG00000291458	ENST00000707600		
ENSG00000291458	ENST00000707601		
ENSG00000291459	ENST00000707602	ENSP00000516923	
ENSG00000291460	ENST00000707603		
ENSG00000291461	ENST00000707604		
ENSG00000291462	ENST00000707605		
ENSG00000291454	ENST00000707588		
ENSG00000293355	ENST00000707586		
ENSG00000293355	ENST00000707587		
ENSG00000281449	ENST00000627413	ENSP00000486050	
ENSG00000281449	ENST00000627553		
ENSG00000281449	ENST00000628217	ENSP00000486791	
ENSG00000281449	ENST00000630375		
ENSG00000281449	ENST00000630161		
ENSG00000281449	ENST00000629515	ENSP00000487566	
ENSG00000281449	ENST00000625808	ENSP00000486862	
ENSG00000281449	ENST00000626295		
ENSG00000281449	ENST00000627713		
ENSG00000281449	ENST00000631317	ENSP00000486796	
ENSG00000281449	ENST00000628783	ENSP00000487330	
ENSG00000281449	ENST00000631251	ENSP00000486560	
ENSG00000285019	ENST00000642532		
ENSG00000281449	ENST00000627464	ENSP00000486273	
ENSG00000285196	ENST00000643054		
ENSG00000281449	ENST00000628315	ENSP00000485980	
ENSG00000281442	ENST00000629871		
ENSG00000283344	ENST00000637028		
ENSG00000285308	ENST00000647527		
ENSG00000285028	ENST00000644360		
ENSG00000285455	ENST00000645951		
ENSG00000285477	ENST00000646767		
ENSG00000281324	ENST00000628182	ENSP00000486315	
ENSG00000281324	ENST00000625211	ENSP00000487008	
ENSG00000281324	ENST00000626957	ENSP00000486758	
ENSG00000281324	ENST00000626698	ENSP00000486524	
ENSG00000281324	ENST00000626446		
ENSG00000281324	ENST00000627346		
ENSG00000281324	ENST00000626182	ENSP00000486383	
ENSG00000280475	ENST00000631171		
ENSG00000206783	ENST00000384056		
ENSG00000281874	ENST00000627522		
ENSG00000207477	ENST00000384746		
ENSG00000281818	ENST00000629245	ENSP00000487587	
ENSG00000281818	ENST00000626912	ENSP00000487244	
ENSG00000281818	ENST00000631077	ENSP00000487019	
ENSG00000281818	ENST00000628134	ENSP00000486216	
ENSG00000281051	ENST00000630767		
ENSG00000281234	ENST00000628428		
ENSG00000280689	ENST00000627374	ENSP00000486120	
ENSG00000280689	ENST00000625206	ENSP00000485829	
ENSG00000280689	ENST00000626671		
ENSG00000280689	ENST00000627461	ENSP00000486584	
ENSG00000281168	ENST00000625448		
ENSG00000280962	ENST00000626413	ENSP00000487512	
ENSG00000280962	ENST00000628303	ENSP00000487034	
ENSG00000280962	ENST00000630190		
ENSG00000280962	ENST00000626461	ENSP00000485919	
ENSG00000280962	ENST00000629698	ENSP00000487493	
ENSG00000280962	ENST00000627160		
ENSG00000281671	ENST00000626218		
ENSG00000281525	ENST00000631212		
ENSG00000282467	ENST00000633619		
ENSG00000292327	ENST00000711115	ENSP00000518592	uc317bnz.1
ENSG00000292327	ENST00000711114		uc317bny.1
ENSG00000292327	ENST00000711113		uc317bnx.1
ENSG00000292327	ENST00000711112		uc317bnw.1
ENSG00000292327	ENST00000711128		uc317bom.1
ENSG00000292327	ENST00000711127		uc317bol.1
ENSG00000292327	ENST00000711126		uc317bok.1
ENSG00000292327	ENST00000711125		uc317boj.1
ENSG00000292327	ENST00000711124		uc317boi.1
ENSG00000292327	ENST00000711123	ENSP00000518591	uc317boh.1
ENSG00000292328	ENST00000711122		uc317bog.1
ENSG00000292329	ENST00000711121		uc317bof.1
ENSG00000292330	ENST00000711120		uc317boe.1
ENSG00000292331	ENST00000711119		uc317bod.1
ENSG00000292331	ENST00000711134		uc317bor.1
ENSG00000292331	ENST00000711118		uc317boc.1
ENSG00000292331	ENST00000711117		uc317bob.1
ENSG00000292331	ENST00000711116		uc317boa.1
ENSG00000292332	ENST00000711219	ENSP00000518590	uc317brw.1
ENSG00000292332	ENST00000711218	ENSP00000518613	uc317brv.1
ENSG00000292332	ENST00000711217	ENSP00000518612	uc317bru.1
ENSG00000292333	ENST00000711216	ENSP00000518611	uc317brt.1
ENSG00000292333	ENST00000711215	ENSP00000518610	uc317brs.1
ENSG00000292334	ENST00000711214	ENSP00000518609	uc317brr.1
ENSG00000292334	ENST00000711213		uc317brq.1
ENSG00000292334	ENST00000711212		uc317brp.1
ENSG00000292335	ENST00000711211		uc317bro.1
ENSG00000292336	ENST00000711210	ENSP00000518608	uc317brn.1
ENSG00000292336	ENST00000711209	ENSP00000518607	uc317brm.1
ENSG00000292336	ENST00000711208	ENSP00000518606	uc317brl.1
ENSG00000292336	ENST00000711207		uc317brk.1
ENSG00000292336	ENST00000711206	ENSP00000518605	uc317brj.1
ENSG00000292337	ENST00000711205		uc317bri.1
ENSG00000288406	ENST00000672344		
ENSG00000292338	ENST00000711204	ENSP00000518604	uc317brh.1
ENSG00000292338	ENST00000711203	ENSP00000518603	uc317brg.1
ENSG00000292338	ENST00000711202		uc317brf.1
ENSG00000292338	ENST00000711201	ENSP00000518602	uc317bre.1
ENSG00000292338	ENST00000711200		uc317brd.1
ENSG00000292338	ENST00000711199	ENSP00000518601	uc317brc.1
ENSG00000292338	ENST00000711198		uc317brb.1
ENSG00000292339	ENST00000711197	ENSP00000518600	uc317bra.1
ENSG00000292339	ENST00000711196	ENSP00000518599	uc317bqz.1
ENSG00000292339	ENST00000711195		uc317bqy.1
ENSG00000292339	ENST00000711194		uc317bqx.1
ENSG00000292339	ENST00000711193		uc317bqw.1
ENSG00000292339	ENST00000711192	ENSP00000518598	uc317bqv.1
ENSG00000292340	ENST00000711191		uc317bqu.1
ENSG00000292340	ENST00000711190		uc317bqt.1
ENSG00000292341	ENST00000711189		uc317bqs.1
ENSG00000292341	ENST00000711188		uc317bqr.1
ENSG00000292342	ENST00000711187		uc317bqq.1
ENSG00000292343	ENST00000711132	ENSP00000518597	uc317boq.1
ENSG00000292343	ENST00000711186	ENSP00000518596	uc317bqp.1
ENSG00000292343	ENST00000711185	ENSP00000518595	uc317bqo.1
ENSG00000292344	ENST00000711184	ENSP00000518594	uc317bqn.1
ENSG00000292344	ENST00000711183		uc317bqm.1
ENSG00000292344	ENST00000711182	ENSP00000518593	uc317bql.1
ENSG00000292344	ENST00000711181	ENSP00000518615	uc317bqk.1
ENSG00000292344	ENST00000711180	ENSP00000518614	uc317bqj.1
ENSG00000292344	ENST00000711179	ENSP00000518661	uc317bqi.1
